N° Ticket;Statut;Titre;N° PPV Site;Nom du Site;Code Banco;Nom Contrat;Code Agence;Agence;Région;Util. Demandeur;Util. Prise en compte;Util. Resp. Ticket;Util. Cloture;Date Demande;Date Prise en compte;Date Réal. Prog.;Date Cloture;Type de compte;Imputation;
58220;Cloturé sans suite;Syno;89269;SAINT-LAURENT-D'OLT QSECTO 24 Antenne Canet / Marijolet;7950;SIAEP DES VALLÉES DE LA SERRE ET D'OLT;1109;AG Occitanie Nord Est;Occitanie;CEA207;FCK343;FCK343;FCK343;2021-03-01;2021-03-01;2021-03-01;2021-03-02;Exploitation;-;
58219;Cloturé sans suite;Modif;65611;SAINT-HIPPOLYTE Surpresseur Réservoir de Fonfrège;28667;SAINT-HIPPOLYTE - Exploitation du service d'eau potable;1109;AG Occitanie Nord Est;Occitanie;CEA207;FCK343;FCK343;FCK343;2021-03-01;2021-03-01;2021-03-01;2021-03-01;Exploitation;-;
58218;Cloturé sans suite;Modif;66190;CAMPAGNAC QSECTO 28 Antenne les Courtineaux;7950;SIAEP DES VALLÉES DE LA SERRE ET D'OLT;1109;AG Occitanie Nord Est;Occitanie;CEA207;FCK343;FCK343;FCK343;2021-03-01;2021-03-01;2021-03-01;2021-03-01;Exploitation;-;
58217;Cloturé sans suite;Modif;66185;PIERREFICHE QSECTO 10 Antenne Pierrefiche/Galinière;7950;SIAEP DES VALLÉES DE LA SERRE ET D'OLT;1109;AG Occitanie Nord Est;Occitanie;CEA207;FCK343;FCK343;FCK343;2021-03-01;2021-03-01;2021-03-01;2021-03-01;Exploitation;-;
58211;Cloturé sans suite;TRES URGENT Index Aquacalc;15641;COURNONTERRAL QSECTO Plan de Croix;2945;BAS LANGUEDOC (SIAE);1111;AG Thau Méditerranée;Occitanie;VJ5510;GJH222;GJH222;GJH222;2021-03-01;2021-03-01;2021-03-01;2021-03-01;Exploitation;-;
58210;Cloturé sans suite;Création carte SIM;65614;SAINT-HIPPOLYTE Compteur achat  Interco Carladez (St hippolyte-Cros);28667;SAINT-HIPPOLYTE - Exploitation du service d'eau potable;1109;AG Occitanie Nord Est;Occitanie;CEA207;GJH222;FCK343;FCK343;2021-03-01;2021-03-01;2021-03-02;2021-03-08;Exploitation;-;
58202;Cloturé sans suite;Correction libellés;15812;VILLEVEYRAC PR+TP Les Gousses;19955;NORD DU BASSIN DE THAU (CC) - Collecte & transport des EU;1111;AG Thau Méditerranée;Occitanie;DGH201;QJA840;QJA840;QJA840;2021-03-01;2021-03-02;2021-03-17;2021-03-02;Exploitation;-;
58187;Cloturé sans suite;Remontée aléatoire;100514;MARSEILLAN QSECTO Chemin des Pêcheurs;2945;BAS LANGUEDOC (SIAE);1111;AG Thau Méditerranée;Occitanie;VJ5510;GJH222;GJH222;GJH222;2021-03-01;2021-03-01;2021-03-01;2021-03-04;Exploitation;-;
58181;Cloturé sans suite;LACBUS;15945;GDR PR Z 20;21585;TERRES DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;IFD089;FCK343;FCK343;FCK343;2021-03-01;2021-03-01;2021-03-01;2021-03-01;Exploitation;-;
58168;Cloturé sans suite;Ajouter information cuve Nutriox;102365;TOURBES PR+TP Village Tourbes;14347;CA HERAULT MEDITERRANEE - PEZENAS;1111;AG Thau Méditerranée;Occitanie;ICA467;QJA840;QJA840;QJA840;2021-03-01;2021-03-02;2021-03-17;2021-03-02;Exploitation;-;
58151;Cloturé sans suite;Problème remonté données;61381;CONDOM STEP;24901;SIAEP DE CONDOM CAUSSENS ;1110;AG Pyrénées Val de Garonne;Occitanie;QB4090;AIH262;AIH262;AIH262;2021-03-01;2021-03-05;2021-03-20;2021-03-05;Exploitation;-;
58143;Cloturé sans suite;Correction libellés;15721;MONTBAZIN PR+TP Lou Lavadou;19955;NORD DU BASSIN DE THAU (CC) - Collecte & transport des EU;1111;AG Thau Méditerranée;Occitanie;DGH201;QJA840;QJA840;QJA840;2021-03-01;2021-03-02;2021-03-17;2021-03-02;Exploitation;-;
58142;Cloturé sans suite;Prob Com;65614;SAINT-HIPPOLYTE Compteur achat  Interco Carladez (St hippolyte-Cros);28667;SAINT-HIPPOLYTE - Exploitation du service d'eau potable;1109;AG Occitanie Nord Est;Occitanie;CEA207;FCK343;FCK343;FCK343;2021-03-01;2021-03-01;2021-03-01;2021-03-01;Exploitation;-;
58061;Cloturé sans suite;tableur reservoir montblanc M01;67905;MONTBLANC Réservoirs  (2*400+200+300) + Reprise;22480;L'EAU DE BÉZIERS MEDITERRANEE;1112;AG Béziers Méditerranée;Occitanie;ICG507;QJA840;QJA840;QJA840;2021-02-25;2021-03-01;2021-03-16;2021-03-01;Exploitation;-;
58057;Cloturé sans suite;Alarme chlore camplong reservoir;13467;CAMPLONG Réservoir 2*100 + surpresseur;23847;CAMPLONG;1112;AG Béziers Méditerranée;Occitanie;ICG507;QJA840;QJA840;QJA840;2021-02-25;2021-03-01;2021-03-16;2021-03-01;Exploitation;-;
58026;Cloturé;Nouveau débitmètre;70886;RICAUD STEP;7041;CC CASTELNAUDARY LAURAGAIS AUDOIS - RICAUD;1113;AG Aude Pyrénées Orientales;Occitanie;HEI224;AFG555;AFG555;AFG555;2021-02-25;2021-03-08;2021-03-23;2021-03-08;Exploitation;-;
58016;Cloturé sans suite;Tableur reservoir Mercorent BZ2;93778;BÉZIERS Reservoir + Surpresseur Mercorent;22480;L'EAU DE BÉZIERS MEDITERRANEE;1112;AG Béziers Méditerranée;Occitanie;ICG507;QJA840;QJA840;QJA840;2021-02-25;2021-03-01;2021-03-16;2021-03-01;Exploitation;X;
58011;Cloturé sans suite;MaJ PC Bureautique;;;;;HC115;Hors Contrat;Occitanie;FCK343;FCK343;FCK343;FCK343;2021-02-25;2021-02-25;2021-02-25;2021-02-25;Exploitation;-;
57975;Cloturé sans suite;Automate à l'arrêt;15847;SETE STEP;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;BC5454;GJH222;GJH222;GJH222;2021-02-24;2021-02-24;2021-02-24;2021-02-24;Exploitation;-;
57957;Cloturé sans suite;LACBUS;15940;GDR PR SALONIQUE 1;21585;TERRES DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;IFD089;FCK343;FCK343;FCK343;2021-02-24;2021-02-24;2021-02-24;2021-03-01;Exploitation;-;
57955;Cloturé sans suite;Mise en place Télécontrôle Secours Marseillan;;;;;HC115;Hors Contrat;Occitanie;FCK343;FCK343;FCK343;FCK343;2021-02-24;2021-02-24;2021-02-24;2021-03-01;Exploitation;-;
57952;Cloturé sans suite;LACBUS;15938;GDR PR 5;21585;TERRES DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;IFD089;FCK343;FCK343;FCK343;2021-02-24;2021-02-24;2021-02-24;2021-03-01;Exploitation;-;
57944;Cloturé sans suite;LACBUS;15927;GDR PR 3;21585;TERRES DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;IFD089;FCK343;FCK343;FCK343;2021-02-24;2021-02-24;2021-02-24;2021-03-01;Exploitation;-;
57943;Cloturé sans suite;LACBUS;15936;GDR PR ECOLE 1;21585;TERRES DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;IFD089;FCK343;FCK343;FCK343;2021-02-24;2021-02-24;2021-02-24;2021-03-01;Exploitation;-;
57907;Cloturé sans suite;URGENT Modification poids d'impulsion;81197;MARSEILLAN QSECTO Route de Sète;2945;BAS LANGUEDOC (SIAE);1111;AG Thau Méditerranée;Occitanie;VJ5510;HCE437;HCE437;HCE437;2021-02-24;2021-02-26;2021-02-26;2021-02-26;Exploitation;-;
57760;Cloturé sans suite;Open Client Emilien;;;;;1109;AG Occitanie Nord Est;Occitanie;FCK343;FCK343;FCK343;FCK343;2021-02-22;2021-02-22;2021-02-22;2021-02-22;Exploitation;-;
57740;Cloturé sans suite;LA GALERIE Commande des pompes;13625;CARCASSONNE UTEP de Maquens;24275;CA CARCASSONNE AGGLO - Lot n°1 - Eau potable;1113;AG Aude Pyrénées Orientales;Occitanie;BGK570;;;AFG555;2021-02-22;1970-01-01;1970-01-01;2021-02-22;Exploitation;X505PRO24275;
57738;Cloturé sans suite;Inventaire baie capiscol;67755;BÉZIERS DP Bureaux Centre Régional Béziers;HC115;Hors Contrat;HC115;Hors Contrat;Occitanie;IAF033;IAF033;IAF033;IAF033;2021-02-22;2021-02-22;2021-02-22;2021-02-22;Exploitation;-;
57706;Cloturé sans suite;Prob Com;15956;LE GRAU-DU-ROI Réservoir Boucanet;24712;TERRE DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;FO4106;FCK343;FCK343;FCK343;2021-02-22;2021-02-22;2021-02-22;2021-02-22;Exploitation;-;
57672;Cloturé sans suite;topkapi SAM synoptique;98061;FRONTIGNAN PR Entrée;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;BGJ399;;;GJH222;2021-02-22;1970-01-01;1970-01-01;2021-02-24;Exploitation;-;
57671;Cloturé sans suite;topkapi SAM synoptique;98060;FRONTIGNAN PR Courlis;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;BGJ399;;;GJH222;2021-02-22;1970-01-01;1970-01-01;2021-02-24;Exploitation;-;
57656;Cloturé sans suite;Prob Com;16262;MARSILLARGUES PR ASA NORD;16908;MARSILLARGUES - ASA ASSAINISSEMENT - Maintenance stations de pompage;1109;AG Occitanie Nord Est;Occitanie;GEK006;FCK343;FCK343;FCK343;2021-02-19;2021-02-19;2021-02-19;2021-02-19;Exploitation;-;
57655;Cloturé sans suite;Remplacement LT42 par LS42;82795;CODOGNAN QSECTO 12 chemin des Bouillens;20636;MOYEN RHONY (SIVOM du);1109;AG Occitanie Nord Est;Occitanie;FFI241;FCK343;FCK343;FCK343;2021-02-19;2021-02-19;2021-02-19;2021-02-19;Exploitation;-;
57651;Cloturé;Rajout d'un compteur Alim Reservoir Village;13585;TARGASSONNE UTEP Arsenic + Réservoir Haut;24803;TARGASONNE;1113;AG Aude Pyrénées Orientales;Occitanie;DR4105;AFG555;AFG555;AFG555;2021-02-19;2021-02-22;2021-03-09;2021-02-22;Exploitation;-;
